Name,Subclass,Url,Division,Retailer
ΜιτσίδηΠουργούρι1kg,Rice,mitsidi-pourgouri-1kg,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
ΜιτσίδηΠουργούρι500g,Rice,mitsidi-pourgouri-500g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
SailorΑλάτι250g,"Salt, spices and culinary herbs",sailor-alati-250g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΠιπέριΜαύροΑλεσμένο34g,"Salt, spices and culinary herbs",carnation-spices-piperi-mavro-spasto-34g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΚανέλαΑλεσμένη34g,"Salt, spices and culinary herbs",carnation-spices-kanela-alesmeni-34g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΠάπρικαΚαπνιστή30g,"Salt, spices and culinary herbs",carnation-spices-paprika-kapnisti-30g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΚουρκουμάςΚιτρινόριζα30g,"Salt, spices and culinary herbs",carnation-spices-kourkoumas-kitrinoriza-30g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
KnorrAromatΜείγμαΛαχανικών&Μυρωδικών90g,"Salt, spices and culinary herbs",knorr-aromat-meigma-lachanikon-myrodikon-90g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΔιάφοραΒότανα12g,"Salt, spices and culinary herbs",carnation-spices-diafora-votana-12g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΣκόρδοΣκόνη40g,"Salt, spices and culinary herbs",carnation-spices-skordo-trimmenos-40g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
CarnationSpicesΡίγανη30g,"Salt, spices and culinary herbs",carnation-spices-rigani-30g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
