Date,Division,CPI Division,Daily Change (%)
2024-07-09,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-09,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-09,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-09,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-09,TRANSPORT,100.9164,-1.0084
2024-07-10,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4728,0.0
2024-07-10,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-10,EDUCATION SERVICES,98.9399,0.0
2024-07-10,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9601,0.4794
2024-07-10,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-10,HEALTH,98.026,0.0
2024-07-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2499,0.0006
2024-07-10,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-10,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-10,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-10,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-10,TRANSPORT,100.9164,0.0
2024-07-11,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5075,0.036
2024-07-11,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-11,EDUCATION SERVICES,98.9399,0.0
2024-07-11,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9601,0.0
2024-07-11,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-11,HEALTH,98.026,0.0
2024-07-11,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.25,0.0001
2024-07-11,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-11,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-11,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-11,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-11,TRANSPORT,100.9165,0.0001
2024-07-12,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.5423,0.036
2024-07-12,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-12,EDUCATION SERVICES,98.9399,0.0
2024-07-12,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9601,0.0
2024-07-12,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-12,HEALTH,98.026,0.0
2024-07-12,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2514,0.0014
2024-07-12,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-12,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.5165
2024-07-12,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-12,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-12,TRANSPORT,100.9165,0.0
2024-07-13,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6465,0.108
2024-07-13,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-13,EDUCATION SERVICES,98.9399,0.0
2024-07-13,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9601,0.0
2024-07-13,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-13,HEALTH,98.026,0.0
2024-07-13,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2539,0.0026
2024-07-13,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-13,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-13,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-13,TRANSPORT,100.9163,-0.0002
2024-07-14,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6465,0.0
2024-07-14,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-14,EDUCATION SERVICES,98.9399,0.0
2024-07-14,FOOD AND NON-ALCOHOLIC BEVERAGES,98.9601,0.0
2024-07-14,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-14,HEALTH,98.026,0.0
2024-07-14,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.254,0.0001
2024-07-14,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-14,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-14,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-14,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-14,TRANSPORT,100.9163,0.0
2024-07-15,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6118,-0.036
2024-07-15,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-15,EDUCATION SERVICES,98.9399,0.0
