Date,Division,Subclass,Price,Weight,Weight_Price_Subclass,Weight_Price_Division,CPI Division,Daily Change (%)
2026-06-24,"RECREATION, SPORT AND CULTURE",Games of chance,20.455,0.0229,0.4684195,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Garden products,2.6566666666666667,0.0009,0.002391,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Miscellaneous printed matter,12.34,0.0004,0.004936,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Musical instruments,344.6666666666667,0.0003,0.1033999999999999,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Other books,18.75,0.0018,0.03375,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE","Other games, toys and hobby-related articles",6.845000000000001,0.0044,0.030118,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Package holidays,3804.166667,0.0048,18.2600000016,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE","Plants, seeds and flowers",5.69,0.0021,0.011949,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Products for pets and other household animals,3.21,0.0049,0.015729,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE","Services provided by cinemas, theatres and concert venues",8.0,0.0024,0.0192,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Sporting equipment,11.478333333333332,0.0016,0.0183653333333333,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Stationery and drawing materials,3.0873913043478263,0.0017,0.0052485652173913,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Veterinary and other services for pets,33.0,0.0016,0.0528,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE","Video game computers, consoles, game applications and software",200.86125,0.0009,0.180775125,19.235940400150724,100.0,
2026-06-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",Charcoal,5.99,0.0013,0.007787,0.4012869138155894,100.0,
2026-06-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",Liquefied hydrocarbons,20.08,0.0038,0.076304,0.4012869138155894,100.0,
