product_name,product_price,date_time_scraped,product_subclass,retailer,subclass_average
KnorrΖωμόςΚότας12Τεμ,1.26,2023-04-30 01:51:01.495621,"Sauces, condiments",SupermarketCy,0
KnorrΖωμόςΛαχανικών12Τεμ,1.79,2023-04-30 01:51:01.495622,"Sauces, condiments",SupermarketCy,0
ΆγιοςΓεώργιοςΚυπριακόΠαρθένοΕλαιόλαδο1L,6.95,2023-04-30 01:51:03.878648,Olive Oil,SupermarketCy,0
ΕλιοχώριΠαρθένοΕλαιόλαδο2L,12.95,2023-04-30 01:51:03.878652,Olive Oil,SupermarketCy,0
ΣεκέπΠαρθένοΕλαιόλαδο1L,7.99,2023-04-30 01:51:03.878653,Olive Oil,SupermarketCy,0
AmbrosiaΗλιανθέλαιο3L,8.99,2023-04-30 01:51:04.898008,Other edible oils,SupermarketCy,0
FloraΗλιανθέλαιο3L,10.62,2023-04-30 01:51:04.898011,Other edible oils,SupermarketCy,0
AmbrosiaΗλιανθέλαιο4L,15.65,2023-04-30 01:51:04.898012,Other edible oils,SupermarketCy,0
LesieurΗλιανθέλαιο3L,NaN,2023-04-30 01:51:04.898012,Other edible oils,SupermarketCy,0
SevycoΆσπροςΤόνοςΣεΕλαιόλαδο4X95g,4.9,2023-04-30 01:51:08.389551,Other preserved or processed fish and seafood-based preparations,SupermarketCy,0
SevycoΤόνοςΣεΝερό4X200g,7.99,2023-04-30 01:51:08.389555,Other preserved or processed fish and seafood-based preparations,SupermarketCy,0
RioMareΤόνοςΣεΕλαιόλαδο160g2+1Δωρεάν,9.05,2023-04-30 01:51:08.389556,Other preserved or processed fish and seafood-based preparations,SupermarketCy,0
RioMareΤόνοςΣεΕλαιόλαδο80g3+1Δωρεάν,NaN,2023-04-30 01:51:08.389558,Other preserved or processed fish and seafood-based preparations,SupermarketCy,0
ΚαμήλαΣαρδελάκιαΣεΝερό120g,1.29,2023-04-30 01:51:09.552712,"Dried, smoked or salted fish and seafood",SupermarketCy,0
TrataΡέγγαΚαπνιστή160g,2.6,2023-04-30 01:51:09.552715,"Dried, smoked or salted fish and seafood",SupermarketCy,0
FlokosΦιλέτοΣκουμπρίΚαπνιστόΣεΦυτικόΛάδι160g,3.15,2023-04-30 01:51:09.552716,"Dried, smoked or salted fish and seafood",SupermarketCy,0
